"dB"      "codedlen"      "PLR" using |A|=1000
6    1600  0.98005
6    1700  0.8745
6    1800  0.64744
6    1900  0.40708
6    2000  0.26884
6    2100  0.17291
6    2200  0.10891
6    2300  0.07016
6    2400  0.04053
6    2500  0.02261
6    2700  0.00807
6    2600  0.01409
6    2800  0.00445
6    2900  0.0028
6    3000  0.00144
6    3200  0.00053
6    3100  0.00083
6    3300  0.00045
6    3400  0.00023
6    3500  0.00015
6    3600  0.0001
6    3700  8e-05
6    3800  5e-05
6    3900  3e-05
6    4000  3e-05
6    4100  3e-05
6    4200  3e-05
6    4300  0
6    4400  1e-05
6    4500  0
6    4600  0
6    4700  0
6    4800  0
6    4900  0
6    5000  0
6    5100  0
6    5200  0
6    5300  0
6    5400  0
6    5500  0
6    5600  0
6    5700  0
6    5800  0
6    5900  0
6    6000  0
6    6100  0
6    6200  0
6    6300  0
6    6400  0
6    6500  0
6    6600  0
6    6700  0
6    6800  0
6    6900  0
6    7000  0
6    7100  0
6    7200  0
6    7300  0
6    7400  0
6    7500  0
6    7600  0
6    7700  0
6    7800  0
6    7900  0
6    8000  0
6    8100  0
6    8200  0
6    8300  0
6    8400  0
6    8500  0
6    8600  0
6    8700  0
6    8800  0
6    8900  0
6    9000  0
6    9100  0
6    9200  0
6    9300  0
6    9400  0
6    9500  0
6    9600  0
6    9700  0
7    1000  1
6    9800  0
6    9900  0
7    1100  1
7    1200  1
7    1300  0.99999
7    1400  0.99738
7    1500  0.95692
7    1600  0.79528
7    1700  0.54543
7    1900  0.14423
7    1800  0.29045
7    2000  0.08824
7    2100  0.05161
7    2200  0.0312
7    2400  0.0108
7    2300  0.01972
7    2500  0.00524
7    2600  0.00293
7    2700  0.0019
7    2800  0.00068
7    2900  0.00037
7    3000  0.00035
7    3100  0.00012
7    3200  2e-05
7    3300  0.0001
7    3400  3e-05
7    3500  2e-05
7    3600  2e-05
7    3700  0
7    3900  0
7    3800  0
7    4000  0
7    4100  0
7    4200  0
7    4400  0
7    4300  0
7    4500  0
7    4600  0
7    4700  0
7    4900  0
7    4800  0
7    5000  1e-05
7    5100  0
7    5200  0
7    5300  0
7    5400  0
7    5500  0
7    5600  0
7    5700  0
7    5800  0
7    5900  0
7    6000  0
7    6100  0
7    6200  0
7    6300  0
7    6400  0
7    6500  0
7    6600  0
7    6700  0
7    6800  0
7    6900  0
7    7000  0
7    7100  0
7    7200  0
7    7300  0
7    7400  0
7    7500  0
7    7600  0
7    7700  0
7    7800  0
7    7900  0
7    8000  0
7    8100  0
7    8200  0
7    8300  0
7    8400  0
7    8500  0
7    8600  0
7    8700  0
7    8800  0
7    8900  0
7    9000  0
7    9100  0
7    9200  0
7    9300  0
7    9400  0
7    9500  0
8    1000  1
7    9600  0
7    9700  0
7    9800  0
7    9900  0
8    1100  1
8    1200  1
8    1300  0.99837
8    1400  0.92868
8    1500  0.72318
8    1600  0.46531
8    1700  0.25597
8    1800  0.10702
8    1900  0.04385
8    2000  0.02691
8    2100  0.01554
8    2200  0.00836
8    2300  0.00501
8    2400  0.00264
8    2500  0.00111
8    2600  0.0006
8    2700  0.00039
8    2800  0.00016
8    2900  0.00013
8    3000  8e-05
8    3100  1e-05
8    3300  2e-05
8    3200  0
8    3400  0
8    3500  0
8    3600  0
8    3700  0
8    3800  1e-05
8    3900  0
8    4000  0
8    4100  0
8    4200  0
8    4300  0
8    4400  0
8    4500  0
8    4600  0
8    4700  0
8    4800  0
8    4900  0
8    5000  0
8    5100  0
8    5200  0
8    5300  0
8    5400  0
8    5500  0
8    5600  0
8    5700  0
8    5800  0
8    5900  0
8    6000  0
8    6100  0
8    6200  0
8    6300  0
8    6400  0
8    6500  0
8    6600  0
8    6700  0
8    6800  0
8    6900  0
8    7000  0
8    7100  0
8    7200  0
8    7300  0
8    7400  0
8    7500  0
8    7600  0
8    7700  0
8    7800  0
8    7900  0
8    8000  0
8    8100  0
8    8200  0
8    8300  0
8    8400  0
8    8500  0
8    8600  0
8    8800  0
8    8700  0
8    8900  0
8    9000  0
8    9100  0
8    9200  0
8    9300  0
8    9400  0
8    9500  0
8    9600  0
9    1000  1
8    9700  0
8    9800  0
8    9900  0
9    1200  0.99986
9    1300  0.94918
9    1100  1
9    1400  0.66514
9    1500  0.39959
9    1600  0.21883
9    1700  0.10864
9    1900  0.01291
9    1800  0.03506
9    2000  0.00782
9    2100  0.00436
9    2200  0.00213
9    2300  0.00127
9    2400  0.0007
9    2500  0.00019
9    2600  0.00018
9    2700  8e-05
9    2800  1e-05
9    2900  3e-05
9    3000  0
9    3100  0
9    3400  0
9    3200  1e-05
9    3300  1e-05
9    3500  0
9    3600  0
9    3800  0
9    3700  0
9    3900  0
9    4000  0
9    4100  0
9    4300  0
9    4200  0
9    4400  0
9    4500  0
9    4600  0
9    4700  0
9    4800  0
9    4900  0
9    5000  0
9    5100  0
9    5200  0
9    5300  0
9    5400  0
9    5500  0
9    5600  0
9    5700  0
9    5800  0
9    5900  0
9    6000  0
9    6100  0
9    6200  0
9    6300  0
9    6400  0
9    6500  0
9    6600  0
9    6700  0
9    6800  0
9    6900  0
9    7000  0
9    7100  0
9    7200  0
9    7400  0
9    7300  0
9    7500  0
9    7600  0
9    7700  0
9    7800  0
9    7900  0
9    8000  0
9    8100  0
9    8200  0
9    8300  0
9    8400  0
9    8500  0
9    8600  0
9    8700  0
9    8800  0
9    8900  0
9    9000  0
9    9100  0
9    9200  0
9    9300  0
9    9400  0
9    9500  0
9    9600  0
10    1000  1
9    9700  0
9    9800  0
9    9900  0
10    1100  1
10    1200  0.99112
10    1300  0.73376
10    1400  0.35395
10    1500  0.18361
10    1600  0.09297
10    1700  0.04411
10    1800  0.01045
10    1900  0.0035
10    2000  0.00219
10    2100  0.0011
10    2200  0.00046
10    2300  0.00022
10    2400  0.00016
10    2500  5e-05
10    2600  2e-05
10    2700  3e-05
10    2800  0
10    2900  1e-05
10    3000  0
10    3100  0
10    3200  0
10    3300  0
10    3400  0
10    3500  0
10    3600  0
10    3700  0
10    3800  0
10    3900  0
10    4000  0
10    4100  0
10    4200  0
10    4300  0
10    4400  0
10    4500  0
10    4600  0
10    4700  0
10    4800  0
10    4900  0
10    5000  0
10    5100  0
10    5200  0
10    5300  0
10    5400  0
10    5500  0
10    5600  0
10    5700  0
10    5800  0
10    5900  0
10    6000  0
10    6100  0
10    6200  0
10    6300  0
10    6400  0
10    6500  0
10    6600  0
10    6700  0
10    6800  0
10    6900  0
10    7000  0
10    7100  0
10    7200  0
10    7300  0
10    7400  0
10    7500  0
10    7600  0
10    7700  0
10    7800  0
10    7900  0
10    8000  0
10    8100  0
10    8200  0
10    8300  0
10    8400  0
10    8500  0
10    8600  0
10    8700  0
10    8800  0
10    8900  0
10    9000  0
10    9100  0
10    9200  0
10    9300  0
10    9400  0
10    9500  0
10    9600  0
10    9700  0
11    1000  1
10    9800  0
10    9900  0
11    1200  0.89934
11    1300  0.43604
11    1100  0.99997
11    1400  0.15901
11    1500  0.07821
11    1600  0.03858
11    1700  0.01917
11    1800  0.00377
11    1900  0.00092
11    2000  0.00066
11    2100  0.00033
11    2200  0.00012
11    2300  7e-05
11    2400  5e-05
11    2500  0
11    2600  0
11    2700  0
11    2800  0
11    2900  0
11    3000  0
11    3100  0
11    3200  0
11    3300  0
11    3400  0
11    3500  0
11    3600  0
11    3800  0
11    3700  0
11    3900  0
11    4000  0
11    4100  0
11    4200  0
11    4300  0
11    4400  0
11    4500  0
11    4600  0
11    4700  0
11    4800  0
11    4900  0
11    5000  0
11    5100  0
11    5200  0
11    5300  0
11    5400  0
11    5500  0
11    5600  0
11    5700  0
11    5800  0
11    5900  0
11    6000  0
11    6100  0
11    6200  0
11    6300  0
11    6400  0
11    6500  0
11    6600  0
11    6700  0
11    6800  0
11    6900  0
11    7000  0
