"dB"      "codedlen"      "PLR" using |A|=1000
-1.5    4800  0.943667
-1.5    4900  0.934667
-1.5    5000  0.897667
-1.5    5100  0.877667
-1.5    5200  0.831333
-1.5    5300  0.783333
-1.5    5400  0.72
-1.5    5500  0.629667
-1.5    5600  0.636667
-1.5    5700  0.609333
-1.5    5800  0.552667
-1.5    5900  0.53
-1.5    6000  0.492333
-1.5    6100  0.490333
-1.5    6200  0.404333
-1.5    6300  0.351667
-1.5    6400  0.281333
-1.5    6500  0.309333
-1.5    6600  0.240333
-1.5    6700  0.239667
-1.5    6800  0.217333
-1.5    6900  0.2
-1.5    7000  0.167
-1.5    7100  0.150333
-1.5    7200  0.159667
-1.5    7300  0.085
-1.5    7400  0.129667
-1.5    7500  0.110667
-1.5    7600  0.0986667
-1.5    7700  0.0803333
-1.5    7800  0.0676667
-1.5    7900  0.0706667
-1.5    8000  0.0656667
-1.5    8100  0.065
-1.5    8200  0.0236667
-1.5    8300  0.0493333
-1.5    8400  0.038
-1.5    8500  0.0296667
-1.5    8600  0.0336667
-1.5    8700  0.0286667
-1.5    8800  0.0303333
-1.5    8900  0.0293333
-1.5    9000  0.0253333
-1.5    9100  0.00933333
-1.5    9200  0.0283333
-1.5    9300  0.031
-1.5    9400  0.0273333
-1.5    9500  0.0216667
-1.5    9600  0.0153333
-1.5    9700  0.0146667
-1.5    9800  0.00733333
-1    1000  1
-1.5    9900  0.00333333
-1    1100  1
-1    1200  1
-1    1300  1
-1    1400  1
-1    1500  1
-1    1600  1
-1    1700  1
-1    1800  1
-1    1900  1
-1    2000  1
-1    2100  1
-1    2200  1
-1    2300  1
-1    2400  1
-1    2500  1
-1    2600  1
-1    2700  1
-1    2800  1
-1    2900  1
-1    3000  1
-1    3100  1
-1    3200  1
-1    3300  1
-1    3400  1
-1    3500  1
-1    3600  0.999667
-1    3700  0.999333
-1    3800  0.999
-1    3900  0.996667
-1    4000  0.993667
-1    4100  0.981667
-1    4200  0.980333
-1    4300  0.967
-1    4400  0.933333
-1    4500  0.901667
-1    4600  0.866
-1    4700  0.827333
-1    4800  0.783333
-1    4900  0.745
-1    5000  0.690333
-1    5100  0.649667
-1    5200  0.596
-1    5300  0.522
-1    5400  0.462
-1    5500  0.375
-1    5600  0.362333
-1    5700  0.340667
-1    5800  0.311
-1    5900  0.286333
-1    6000  0.261333
-1    6100  0.271
-1    6200  0.208
-1    6300  0.19
